,name,artist
544,Beautiful People (feat. Khalid),Ed Sheeran
545,i'm so tired...,Lauv
546,Head & Heart (feat. MNEK) - Acoustic,Joel Corry
547,Good Years,ZAYN
548,Secret Love Song (feat. Jason Derulo),Little Mix
549,Say Love,James TW
550,Renee's Song,Bazzi
551,Let it Be Me,Justin Jesso
552,Naked,James Arthur
553,No One Compares To You,Jack & Jack
554,July (feat. Leon Bridges),Noah Cyrus
555,It's You,Ali Gatie
556,There You Are,ZAYN
557,Before I Lose My Mind - Stripped,Etham
558,Fake A Smile,Alan Walker
559,I Can't Wait,Micky Skeel
560,Big Plans,Why Don't We
561,Can I Be Him - Acoustic Live Version,James Arthur
562,Suitcase,James TW
563,How Do You Sleep?,Sam Smith
564,I Can't Fall in Love Without You,Zara Larsson
565,Favourite Ex,Maisie Peters
566,Is It Really Me You're Missing,Nina Nesbitt
567,Hurt Somebody,Noah Kahan
568,34+35,Ariana Grande
569,Ruin My Life,Zara Larsson
570,Like I'm Gonna Lose You (feat. John Legend),Various Artists
571,Be Alright,Dean Lewis
572,Love Looks Better,Alicia Keys
573,Mirage,Elina
574,24 Hours,Shawn Mendes
575,Too Good At Goodbyes,Sam Smith
576,There's No Way (feat. Julia Michaels),Lauv
577,Best Years,5 Seconds of Summer
578,You Say,Lauren Daigle
579,Lullaby - Acoustic,Sigala
580,Photograph,Ed Sheeran
581,"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion
582,When You Say Nothing At All,Ronan Keating
583,Right Here Waiting,Richard Marx
584,Against All Odds (Take A Look At Me Now),Phil Collins
585,Endless Love,Lionel Richie
586,Your Song,Elton John
587,(Everything I Do) I Do It For You,Bryan Adams
588,I'll Stand by You,Pretenders
589,Have I Told You Lately - 2008 Remaster,Rod Stewart
590,Make You Feel My Love,Adele
591,You're Still The One,Shania Twain
592,I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Michael Jackson
593,A Groovy Kind of Love,Phil Collins
594,Greatest Love of All,Whitney Houston
595,Don't Know Much (with Aaron Neville),Linda Ronstadt
596,The Power of Love,Céline Dion
597,Wonderful Tonight,Eric Clapton
598,The Rose,Bette Midler
599,Heaven,Bryan Adams
600,Have I Told You Lately?,Van Morrison
601,Up Where We Belong,Joe Cocker
602,One Moment in Time,Whitney Houston
603,Hero,Mariah Carey
604,The Lady In Red,Chris de Burgh
605,Back for Good - Radio Mix,Take That
606,How Do I Live,LeAnn Rimes
607,If Tomorrow Never Comes,Ronan Keating
608,True Colors,Cyndi Lauper
609,There You'll Be,Faith Hill
610,You Are so Beautiful,Joe Cocker
611,I'll Be There,Mariah Carey
612,I Will Always Love You,Whitney Houston
613,Please Forgive Me,Bryan Adams
614,"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",Various Artists
