,name,artist
468,be honest (feat. burna boy),jorja smith
469,every kind of way,h.e.r.
470,skin,dijon
471,drunk,dijon
472,on my mind (jorja smith x preditah),jorja smith
473,millionaire,kelis
474,chamber of reflection,mac demarco
475,family feud,jay-z
476,4:44,jay-z
477,good in bed,dua lipa
478,lemon pepper freestyle (feat. rick ross),drake
479,streets,doja cat
480,in your eyes,the weeknd
481,tequila shots,kid cudi
482,motive (with doja cat),ariana grande
483,34+35,ariana grande
484,evergreen,ryan beatty
485,might be,dj luke nasty
486,high for this,the weeknd
487,planez,jeremih
488,exchange,bryson tiller
489,l$d,a$ap rocky
490,comeback (feat. tory lanez and 30 roc),jojo
491,unravel me,sabrina claudio
492,come and see me (feat. drake),partynextdoor
493,wicked games,the weeknd
494,don't,bryson tiller
495,oui,jeremih
496,say it,tory lanez
497,body party,ciara
498,coming down,the weeknd
499,betrayed,lil xan
500,get you (feat. kali uchis),daniel caesar
501,birthday sex,jeremih
502,redbone,childish gambino
503,pyd,justin bieber
504,girls need love,summer walker
505,all the time,jeremih
506,wus good / curious,partynextdoor
507,location,khalid
508,one life,justin bieber
509,marvins room,drake
510,"hold on, we're going home",drake
511,me u & hennessy (feat. lil wayne),dej loaf
512,"yeah, i said it",rihanna
513,what you need,the weeknd
514,with me,dvsn
515,let me explain,bryson tiller
516,all bad,justin bieber
517,too deep,dvsn
518,losin control,russ
519,her,majid jordan
520,special affair,the internet
521,when we,tank
522,body,syd
523,poison,brent faiyaz
524,permission,ro james
525,lights on,h.e.r.
526,blind man,xavier omär
527,b.e.d.,jacquees
528,freak in you,partynextdoor
529,every kind of way,h.e.r.
530,alone,jmsn
531,saved,khalid
532,honesty,pink sweat$
533,sativa,jhené aiko
534,best part (feat. h.e.r.),daniel caesar
535,frozen,sabrina claudio
536,such a whore (stellular remix),jvla
537,do i wanna know?,arctic monkeys
538,w!ld,mathews
539,foolish,prasha
540,preoccupied - remastered,nckv
541,use me,plaza
542,tru,shan
543,i choose u,jol monteiro
544,needed me,deontae
545,perfect on paper,303
546,seamless,chris grey
547,naive,kid travis
548,vibe slow,kendrick p.
549,melt away,autumn jeannette
550,best lie,ac kennedy
551,hey babe,key leblanc
552,hulu and do you (sexuation),larri jae
553,i like,vibeonkeyah
554,need me,angel
555,that's tough,ivoryliana
556,treat you better,eli des
557,intruder,ian von
558,unsolicited,tone
559,tested,elaine kristal
560,keep on,hueseff knight
561,swear,xaxa
562,sapphire,aliyah lanay
563,i like the way you fly,alexander grandjean
564,step in my room,linn
565,nobody knows,plaza
566,no apologies,alex mali
567,lead role,the shadowboxers
568,3am,marlee
569,been bout you,zeleke
570,what’s better,siaira shawn
571,the hills,the weeknd
572,crazy in love - remix,beyoncé
573,surfboard,lux thugs
574,loyal (feat. drake),partynextdoor
575,paradise (feat. yung bleu),h.e.r.
576,wicked games,the weeknd
577,fue mejor (feat. sza),kali uchis
578,sweat,zayn
579,pipes,lux thugs
580,excitement,trippie redd
581,chicago freestyle (feat. giveon),drake
582,love is a bitch,two feet
583,bitches broken hearts,billie eilish
584,in vein,rick ross
585,streets,doja cat
586,fallingforyou,the 1975
587,no love (with sza),summer walker
588,as you are,the weeknd
589,sweet spot,blair
590,n 2 deep,drake
591,sonnet #144,leanne robinson
592,twisted,two feet
593,back out,ok ken!
594,glory box,portishead
595,possession,saeku
596,easy - remix,danileigh
597,high for this,the weeknd
598,mama saturn,tanerélle
599,put it on me,matt maeson
600,toronto,snoh aalegra
601,girls want girls (with lil baby),drake
602,tonight,summer walker
603,love from ngc 7318,tanerélle
604,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",ty dolla $ign
605,if you let me,alina baraz
606,pillowtalk,zayn
607,"i put a spell on you (fifty shades of grey) - from ""fifty shades of grey"" soundtrack",various artists
608,go fuck yourself,two feet
609,two weeks,fka twigs
610,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd
611,river,bishop briggs
612,come through (feat. chris brown),h.e.r.
613,close,nick jonas
614,trampoline (with zayn),shaed
615,fetish (feat. gucci mane),selena gomez
616,call out my name,the weeknd
617,want u around (feat. ruel),omar apollo
618,long nights,6lack
619,dusk till dawn (feat. sia) - radio edit,zayn
620,all the time,jeremih
621,what you do,james gillespie
622,like it (with 6lack),summer walker
623,what you need,the weeknd
624,living room flow - bonus,jhené aiko
625,we can make love,somo
626,first fuck,6lack
627,hotline bling,drake
628,motivation,kelly rowland
629,dangerous woman,ariana grande
630,don't,bryson tiller
631,be your love,bishop briggs
632,dirty,tank
633,bed friend (feat. queen naija),jacquees
634,yummy,justin bieber
635,on the way (feat. mila j),jhené aiko
636,"yo love - from ""queen & slim: the soundtrack""",vince staples
637,i was never there,the weeknd
638,closer,kings of leon
639,let me love you,ariana grande
640,pony,various artists
641,i don’t wanna live forever (fifty shades darker),taylor swift
642,a muse,dvsn
643,belong to you (feat. 6lack),sabrina claudio
644,one day,tory lanez
645,one woman man,various artists
646,more than enough,alina baraz
647,outside,the weeknd
648,comeback (feat. tory lanez and 30 roc),jojo
649,planez,jeremih
650,use somebody,kings of leon
651,personal,plaza
652,often,the weeknd
653,hallucinations,dvsn
654,cucumber,j hus
655,use me,makk mikkael
656,come and see me (feat. drake),partynextdoor
657,sacrifice (feat. jessie reyez),various artists
658,exchange,bryson tiller
659,coming down,the weeknd
660,show me,black atlass
661,when we,tank
662,otw,khalid
663,tonight (feat. d-block europe & oboy),ghost killer track
664,fwm,tone stith
665,rocket,beyoncé
666,goosebumps,travis scott
667,lost in the fire,gesaffelstein
668,belong to the city,partynextdoor
669,wrong (feat. kehlani),zayn
670,wake up,travis scott
671,best day of my life,santino le saint
672,because i love you - sweezus 3000 original,we want you to dance
673,caught in a lie,the hics
674,make me feel,elvis drew
675,desire,nxcre
676,wait for it,justin morelli
677,love game,alex alexander
678,give me all your lies,vaishalini
679,sexual appeal,beatdown music
680,private party,parvin
681,valentine,aestetic
