,name,artist
828,annie's song,john denver
829,you are the sunshine of my life,stevie wonder
830,sailing,christopher cross
831,babe,styx
832,laughter in the rain,various artists
833,three times a lady,commodores
834,after the love has gone,"earth, wind & fire"
835,you light up my life,debby boone
836,yesterday once more,carpenters
837,goodbye girl,david gates
838,i'd really love to see you tonight,england dan & john ford coley
839,the way we were,barbra streisand
840,i'll never love this way again,dionne warwick
841,don't it make my brown eyes blue,crystal gayle
842,lost without your love,bread
843,my eyes adored you,frankie valli
844,killing me softly with his song,roberta flack
845,the best of my love - 2013 remaster,eagles
846,(they long to be) close to you,carpenters
847,without you - remastered,harry nilsson
848,all by myself,eric carmen
849,"evergreen (love theme from, ""a star is born"")",barbra streisand
850,i honestly love you,olivia newton-john
851,always on my mind,elvis presley
852,i'd love you to want me,lobo
853,you make me feel brand new,the stylistics
854,torn between two lovers,various artists
855,on and on,stephen bishop
856,bridge over troubled water,simon & garfunkel
857,don't give up on us,david soul
858,easy,commodores
859,blue bayou,linda ronstadt
860,i'll be there,the jackson 5
861,you're still the one,shania twain
862,this i promise you,*nsync
863,all my life,k-ci & jojo
864,because you loved me,céline dion
865,i do (cherish you),98º
866,shape of my heart,backstreet boys
867,end of the road,boyz ii men
868,(everything i do) i do it for you,bryan adams
869,back at one,brian mcknight
870,sometimes,britney spears
871,hero,mariah carey
872,save the best for last,vanessa williams
873,i swear,all-4-one
874,it's all coming back to me now - radio version,céline dion
875,i'll make love to you,boyz ii men
876,amazed,lonestar
877,endless love,various artists
878,truly madly deeply,savage garden
879,i'll be there,mariah carey
880,(god must have spent) a little more time on you - remix,*nsync
881,i'll never break your heart,backstreet boys
882,i can love you like that,all-4-one
883,for you i will,various artists
884,how could an angel break my heart,toni braxton
885,one sweet day,mariah carey
886,endless love (with mariah carey),luther vandross
887,i'll be - acoustic version,edwin mccain
888,that's the way it is,céline dion
889,i will always love you,whitney houston
890,2 become 1,spice girls
891,angel of mine,monica
892,kiss me,sixpence none the richer
893,i want it that way,backstreet boys
894,un-break my heart,toni braxton
895,i can't make you love me,bonnie raitt
896,"my heart will go on - love theme from ""titanic""",céline dion
897,always and forever,luther vandross
898,rush rush,paula abdul
899,when you believe - from the prince of egypt,whitney houston
900,torn,natalie imbruglia
901,"i don't want to miss a thing - from ""armageddon"" soundtrack",various artists
902,all for love,rod stewart
903,when a man loves a woman,michael bolton
904,this kiss,faith hill
905,the hardest thing,98º
906,i wanna love you forever,jessica simpson
907,iris,the goo goo dolls
908,quit playing games (with my heart),backstreet boys
909,the song remembers when,trisha yearwood
910,stay,lisa loeb
911,loose,daniel caesar
912,like i want you,giveon
913,slow down,mac ayres
914,get you (feat. kali uchis),daniel caesar
915,best part (feat. daniel caesar),h.e.r.
916,meet me in amsterdam,rini
917,girls need love,summer walker
918,cyanide,daniel caesar
919,godspeed,frank ocean
920,girl with the tattoo enter.lewd,miguel
921,stan,6lack
922,oceane (feat. olivia escuyos),rini
923,cpr,summer walker
