,name,artist
841,figures,jessie reyez
842,too good,drake
843,in my head,ariana grande
844,hot girl,megan thee stallion
845,hot girl summer (feat. nicki minaj & ty dolla $ign),megan thee stallion
846,girls need love,summer walker
847,icy grl,saweetie
848,neva,megan thee stallion
849,going bad (feat. drake),meek mill
850,only,nicki minaj
851,never call me,jhené aiko
852,f**kin' perfect,p!nk
853,r.o.d.,a boogie wit da hoodie
854,heart on ice,rod wave
855,(i hope you) miss me,joseph black
856,murder on my mind,ynw melly
857,i,lil skies
858,worth it,yk osiris
859,gone girl,iann dior
860,right my wrongs,bryson tiller
861,second chances. (ft. 6lack),kiana ledé
862,cyber sex,doja cat
863,in the party,flo milli
864,captain hook,megan thee stallion
865,don't wanna fall in love,kyle
866,ruthless,marvin
867,playing games,summer walker
868,10 steps to get over your ex,toni romiti
869,i'll kill you (feat. jhené aiko),summer walker
870,miss movin' on,fifth harmony
871,piece of yo love,ibefoolynn
872,you should be sad,halsey
873,savage,megan thee stallion
874,"thank u, next",ariana grande
875,time to leave,toni romiti
876,rude boy,rihanna
877,ruthless,yelly
878,take a hint,victorious cast
879,just a boy,olivia o'brien
880,chicago freestyle (feat. giveon),drake
881,status (feat. lil uzi vert),nav
882,out of love (feat. internet money),lil tecca
883,i don't fuck with you,big sean
884,feeling myself,nicki minaj
885,part of me,katy perry
886,picture to burn,taylor swift
887,pretty girl rock,keri hilson
888,juicy,doja cat
889,don't want you,ella mai
890,blame on me,j.i the prince of n.y
891,b.e.d.,jacquees
892,all of me,john legend
893,damage,chris brown
894,unfaithful,rihanna
895,deuces (feat. tyga & kevin mccall),chris brown
896,i fall apart,post malone
897,no love,august alsina
898,sorry not sorry,bryson tiller
899,4 seasons,r-cue
900,someone like you,adele
901,passionfruit,drake
902,cry me a river,justin timberlake
903,thinking out loud,ed sheeran
904,you thought wrong,tory lanez
905,needed me,rihanna
906,feel it,r-cue
907,easy on me,r-cue
908,back in business,tory lanez
909,truth hurts,lizzo
910,so sorry,r-cue
911,feels (feat. chris brown),tory lanez
912,you're such a,hailee steinfeld
913,in my feelings,drake
914,think about it,r-cue
915,bad at love,halsey
916,she bad she know,r-cue
917,look what you made me do,taylor swift
918,really don't care,demi lovato
919,still be friends (feat. tory lanez & tyga),g-eazy
920,boss ass bitch,ptaf
921,friends with benefits,tory lanez
922,keep in touch (feat. bryson tiller),tory lanez
923,we don't talk anymore (feat. selena gomez),charlie puth
924,talk to me (with rich the kid),tory lanez
925,someone like you,adele
926,fuck you,ceelo green
927,feeling myself,nicki minaj
928,i don't fuck with you,big sean
929,fake love,drake
930,"thank u, next",ariana grande
931,you don't own me (feat. g-eazy),saygrace
932,idgaf,dua lipa
933,let me explain,bryson tiller
934,come and see me (feat. drake),partynextdoor
935,come get her,rae sremmurd
936,take a bow,rihanna
937,survivor,destiny's child
938,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",various artists
939,say goodbye,chris brown
940,you,jacquees
941,say it,youngn lipz
942,take you down,r-cue
943,one call,joseph scott
944,damage,joseph scott
945,missing you,donell lewis
946,fake friends,isadora
947,like i do,r-cue
948,good pussy walk,too $hort
949,spicy (feat. post malone),ty dolla $ign
950,ride for me,b young
951,don't,bryson tiller
952,she don't (feat. ty dolla $ign),ella mai
953,say it,tory lanez
